focal,compound,birthyr,obyear,rank,infant?,attack_all,chase_all,threatcontact_all,threatnocontact_all,agg_in
bc6,d1,1997,2009,1,N,0.744611,0,0,0,0.744611
tc9,d1,2002,2008,1,N,0,0,0,1.47787,1.47787
io9,d1,2003,2008,3,N,0,0,0.731886,0,0.731886
dq3,d1,1992,2008,1,N,0,0,0,0.746111,0.746111
vd10,d1,2003,2008,1,N,0,0,0.747906,1.49581,2.243716
qv7,d1,2000,2008,3,N,0,0.74096,0,1.48192,2.22288
kp9,d1,2003,2008,3,Y,0,0,0,0,0
kh7,d1,1999,2008,2,N,0,0,0,2.23895,2.23895
oc10,d1,2003,2009,1,Y,0,0,0.746102,0,0.746102
mv8,d1,2002,2008,3,N,0,0,0,0,0
ma9,d1,2002,2008,1,Y,0,0,3.74102,4.48923,8.23025
qc4,d1,1993,2008,2,N,0,0,0.731422,0.731422,1.462844
nd7,d1,1999,2008,1,Y,0,0.748372,0.748372,2.24512,3.741862
ds3,d1,1992,2008,2,N,0,0.727264,0.727264,0,1.454528
oo9,d1,2003,2008,1,N,0,0,0,0,0
tb8,d1,2001,2008,3,N,0.735583,0,0.735583,2.20675,3.67792
qh7,d1,1999,2008,3,N,0,0,0,0.743135,0.743135
ea6,d1,1997,2008,3,N,0,0,0,0,0
ad8,d1,2001,2008,3,N,0,0,0,1.49161,1.49161
pb7,d1,1999,2008,1,N,0,0,0.728907,1.45781,2.186717
nn7,d1,2000,2008,3,N,0,0.741987,0.741987,1.48397,2.967947
ik6,d1,1998,2008,2,N,0,0,0,1.49226,1.49226
ef6,d1,1997,2008,1,N,0,0,0,0.749372,0.749372
wk4,d1,1993,2008,1,N,0.748279,0,0,0,0.748279
vh9,d1,2002,2008,3,N,0,0,0,0,0
ze10,d1,2003,2008,3,N,0,0,0,0.748447,0.748447
ip6,d1,1998,2008,1,N,0,0,0.742087,1.48417,2.226257
ru3,d1,1992,2008,3,N,0,0,0,0,0
ek6,d1,1998,2008,2,Y,0,0.745823,0,0,0.745823
bq6,d1,1998,2009,1,N,0,0,0.74883,0.74883,1.49766
jk9,d1,2002,2008,3,N,0,0,0.738243,0.738243,1.476486
gv5,d1,1996,2009,3,N,0,0,0,0,0
yv8,d1,2002,2008,3,N,0,0,0,0,0
fk9,d1,2002,2008,3,N,0,0,0,0,0
hl8,d1,2001,2008,1,N,1.4888,0,2.97759,1.4888,5.95519
ib8,d1,2001,2008,3,N,0,0,0,0.729803,0.729803
zi6,d2,1998,2008,1,N,0,0,0,0,0
fu5,d2,1996,2008,3,N,0,0,0,0,0
mf10,d2,2003,2008,1,Y,0,0,0.743651,0.743651,1.487302
te4,d2,1993,2009,1,N,0,0,1.49559,0.747794,2.243384
qn8,d2,2001,2009,2,Y,0,0,0,0.74355,0.74355
jw8,d2,2002,2009,1,Y,0.748148,0,0.748148,0,1.4963
jb9,d2,2002,2009,1,Y,0,0,0.727476,0.727476,1.454952
tj6,d2,1998,2008,1,N,1.49592,1.49592,0,0,2.99184
sd4,d2,1993,2008,2,Y,0,0,0.748195,0.748195,1.49639
qp9,d2,2003,2009,2,Y,0,0.74625,0.74625,0,1.4925
zm4,d2,1993,2008,3,N,0,0,0,0,0
hm8,d2,2001,2009,1,Y,0.748344,0,1.49669,3.74172,5.98675
dh7,d2,1999,2008,2,Y,0,0,0,0,0
du5,d2,1996,2009,3,N,0,0,0,0.746027,0.746027
qj4,d2,1993,2009,1,Y,0.744094,0,0.744094,0.744094,2.232284
dm4,d2,1993,2008,1,Y,0,0,0.730843,0,0.730843
zj6,d2,1998,2009,1,Y,2.2317,0,0,0,2.2317
jf8,d2,2001,2009,1,Y,0,0,0,2.24433,2.24433
wp9,d2,2003,2009,1,Y,0,0,0.73193,0,0.73193
hb9,d2,2002,2009,2,Y,0.745101,0.745101,1.4902,0,2.980401
uy5,d2,1997,2008,2,N,0,0,0,0,0
yn8,d2,2001,2009,3,N,0,0,1.49796,0.74898,2.24694
